,name,salary_from,salary_to,salary_currency,area_name,published_at
2510,Ведущий инженер службы холодильного оборудования,,,,Тула,2022-12-15T15:30:37+0300
2511,Инженер по обслуживанию POS-терминального оборудования,45000.0,,RUR,Новосибирск,2022-12-15T12:03:47+0300
2512,Инженер по подбору оборудования со знанием китайского языка,,,,Хабаровск,2022-12-15T12:39:09+0300
2513,Шлифовщик (Ярославская область),97000.0,105000.0,RUR,Углич,2022-12-15T15:26:38+0300
2514,Инженер-механик,,,,Чебоксары,2022-12-15T16:52:22+0300
2515,Оператор станков с ПУ,105000.0,120000.0,RUR,Ярославль,2022-12-15T15:58:30+0300
2516,Ведущий специалист по аналитике бизнес-процессов,,,,Санкт-Петербург,2022-12-15T14:41:57+0300
2517,Специалист 1 линии технической поддержки (диспетчер),30000.0,35000.0,RUR,Тула,2022-12-15T16:05:40+0300
2518,Инженер-программист,83600.0,,RUR,Балашиха,2022-12-15T15:04:40+0300
2519,Специалист по защите информации,40000.0,,RUR,Ярославль,2022-12-15T14:49:41+0300
2520,Наладчик технологического оборудования,,,,Наро-Фоминск,2022-12-15T15:50:08+0300
2521,"Старший специалист поддержки прикладных сервисов, ERP и учетные системы",,,,Москва,2022-12-15T16:17:15+0300
2522,Бизнес аналитик (внутренняя безопасность),,,,Москва,2022-12-15T13:25:22+0300
2523,Токарь (Тамбовская область),96000.0,,RUR,Чебоксары,2022-12-15T14:23:53+0300
2524,Токарь,60000.0,,RUR,Тамбов,2022-12-15T12:13:42+0300
2525,"Product manager (IT, telecom)",,,,Ташкент,2022-12-15T14:36:12+0300
2526,Инженер-механик,,,,Каневская,2022-12-15T17:28:53+0300
2527,Руководитель СТО,100000.0,,RUR,Астрахань,2022-12-15T13:49:32+0300
2528,"Lead/ Senior front-end разработчик (TypeScript, React)",250000.0,400000.0,RUR,Москва,2022-12-15T12:36:37+0300
2529,Механик-наставник,100000.0,135000.0,RUR,Москва,2022-12-15T14:26:35+0300
2530,Главный специалист/Ведущий инженер АСУД,120000.0,150000.0,RUR,Москва,2022-12-15T17:04:05+0300
2531,Ведущий менеджер по продукту,,,,Москва,2022-12-15T13:30:58+0300
2532,Главный аналитик 1С,234000.0,,RUR,Москва,2022-12-15T13:17:13+0300
2533,Ночной сотрудник отдела технической поддержки со знанием английского языка,70000.0,90000.0,RUR,Псков,2022-12-15T17:03:07+0300
2534,Руководитель проекта,,,,Краснодар,2022-12-15T12:03:20+0300
2535,Бизнес-аналитик,200000.0,,RUR,Москва,2022-12-15T17:28:10+0300
2536,Системный администратор,140000.0,,RUR,Москва,2022-12-15T16:27:48+0300
2537,Механик,40000.0,,RUR,Альметьевск,2022-12-15T13:40:34+0300
2538,Токарь-универсал 4 разряда,40000.0,55000.0,RUR,Нижний Новгород,2022-12-15T16:29:31+0300
2539,Инженер по обслуживанию и ремонту противопожарных систем,108000.0,,RUR,Москва,2022-12-15T16:53:58+0300
2540,Рабочий по обслуживанию зданий и сооружений,35000.0,,RUR,Ставрополь,2022-12-15T13:00:20+0300
2541,Консультант SAP BO/BW,,,,Саратов,2022-12-15T13:55:58+0300
2542,Solution-архитектор / Руководитель разработки,,,,Москва,2022-12-15T15:00:06+0300
2543,Слесарь по изготовлению узлов и деталей санитарно-технических систем,54000.0,,RUR,Тверь,2022-12-15T12:25:02+0300
2544,Системный аналитик 1С:Документооборот,,,,Москва,2022-12-15T17:56:04+0300
2545,Менеджер ИТ продукта,,,,Санкт-Петербург,2022-12-15T17:20:09+0300
2546,Специалист технической поддержки,70000.0,80000.0,RUR,Видное,2022-12-15T14:18:43+0300
2547,Наладчик станков с ЧПУ (Тамбовская область),110000.0,,RUR,Камышин,2022-12-15T15:01:07+0300
2548,Программист 1С,,,,Липецк,2022-12-15T16:02:39+0300
2549,Копирайтер / Редактор / Оператор обработки текста и ввода данных (удаленно),25000.0,80000.0,RUR,Тула,2022-12-15T15:35:08+0300
2550,Фрезеровщик универсал,,,,Москва,2022-12-15T16:14:26+0300
2551,Шлифовщик (Ярославская область),96000.0,,RUR,Пенза,2022-12-15T14:45:07+0300
2552,Аналитик 1С,,,,Москва,2022-12-15T16:17:12+0300
2553,Packaging Project Manager,,,,Калуга,2022-12-15T15:03:12+0300
2554,Механик,,,,Владимир,2022-12-15T13:34:08+0300
2555,Packaging Project Manager,,,,Казань,2022-12-15T15:03:16+0300
2556,Системный аналитик,72600.0,,RUR,Москва,2022-12-15T16:38:21+0300
2557,Мастер по ремонту телефонов и планшетов,50000.0,,RUR,Нижний Новгород,2022-12-15T12:05:39+0300
2558,Ведущий разработчик Qlik Sense,,,,Санкт-Петербург,2022-12-15T14:39:28+0300
2559,Инсталлятор,,40000.0,RUR,Егорьевск,2022-12-15T13:05:18+0300
2560,Шлифовщик (Ярославская область),97000.0,105000.0,RUR,Удомля,2022-12-15T15:26:38+0300
2561,Менеджер по проектам,4000000.0,6000000.0,UZS,Ташкент,2022-12-15T15:56:56+0300
2562,Менеджер проектов,60000.0,,RUR,Краснодар,2022-12-15T17:14:29+0300
2563,Руководитель направления / услуги и инвестиции,,,,Москва,2022-12-15T13:33:49+0300
2564,Шлифовщик (Ярославская область),96000.0,,RUR,Набережные Челны,2022-12-15T14:45:07+0300
2565,Руководитель направления клиентского сервиса,45000.0,,RUR,Бугуруслан,2022-12-15T12:44:12+0300
2566,Токарь,115000.0,125000.0,RUR,Рославль,2022-12-15T14:49:20+0300
2567,Go-разработчик в рейтинги и отзывы (Middle +),,,,Санкт-Петербург,2022-12-15T13:14:53+0300
2568,Frontend Vue.js разработчик Middle+,,,,Москва,2022-12-15T15:11:38+0300
2569,Тимлид/Техлид,,,,Санкт-Петербург,2022-12-15T12:00:04+0300
2570,Инженер сопровождения продукта (L3),,,,Воронеж,2022-12-15T14:51:41+0300
2571,Оператор станков с ПУ,105000.0,120000.0,RUR,Кострома,2022-12-15T15:58:30+0300
2572,Fullstack Разработчик,,,,Москва,2022-12-15T15:34:33+0300
2573,Техник-курьер,400.0,2000.0,RUR,Волгоград,2022-12-15T17:16:34+0300
2574,"Системный администратор (СКР, СХД)",,,,Москва,2022-12-15T16:44:54+0300
2575,Бизнес аналитик (Операционная эффективность),,,,Казань,2022-12-15T16:02:57+0300
2576,Специалист отдела технической поддержки,35000.0,,RUR,Екатеринбург,2022-12-15T14:10:09+0300
2577,Токарь 3 разряд,130000.0,,RUR,Тверь,2022-12-15T16:21:51+0300
2578,Бизнес-аналитик 1С,,,,Москва,2022-12-15T17:52:18+0300
2579,Middle Java Developer в Черногории,,,,Ростов-на-Дону,2022-12-15T13:24:47+0300
